tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
tensor([0.9330]) tensor([0., 0., 1.]) tensor([0., 1., 0.])
